LastReportDate,Ethnicity,Cases
2021-10-14,Unknown,46
2021-10-15,Middle Eastern/Latin American/African,177
2021-10-16,Maori,723
2021-10-16,European or Other,1847
2021-10-16,Pacific Peoples,1169
2021-10-15,Asian,977
