LastReportDate,Ethnicity,Cases
2021-12-08,Asian,1380
2021-12-07,European or Other,3301
2021-12-08,Maori,4461
2021-12-07,Middle Eastern/Latin American/African,298
2021-12-08,Pacific Peoples,2916
2021-12-07,Unknown,161
