LastReportDate,Ethnicity,Cases
2021-08-31,Unknown,49
2021-08-29,Middle Eastern/Latin American/African,157
2021-08-31,Maori,250
2021-08-31,European or Other,1619
2021-09-01,Pacific Peoples,704
2021-08-31,Asian,866
