LastReportDate,Ethnicity,Cases
2021-10-23,Unknown,70
2021-10-22,Middle Eastern/Latin American/African,190
2021-10-23,Maori,1016
2021-10-23,European or Other,2073
2021-10-23,Pacific Peoples,1277
2021-10-23,Asian,1012
