LastReportDate,Ethnicity,Cases
2021-08-26,Unknown,41
2021-08-21,Middle Eastern/Latin American/African,155
2021-08-26,Maori,222
2021-08-26,European or Other,1592
2021-08-26,Pacific Peoples,451
2021-08-26,Asian,837
