LastReportDate,Ethnicity,Cases
2021-12-10,Asian,1408
2021-12-10,European or Other,3337
2021-12-10,Maori,4565
2021-12-10,Middle Eastern/Latin American/African,301
2021-12-10,Pacific Peoples,2996
2021-12-11,Unknown,175
