LastReportDate,Ethnicity,Cases
2021-09-20,Unknown,33
2021-09-16,Middle Eastern/Latin American/African,167
2021-09-21,Maori,362
2021-09-19,European or Other,1655
2021-09-21,Pacific Peoples,952
2021-09-20,Asian,926
