LastReportDate,Ethnicity,Cases
2022-02-10,Unknown,418
2022-02-10,Middle Eastern/Latin American/African,537
2022-02-10,Maori,5792
2022-02-10,European or Other,4818
2022-02-10,Pacific Peoples,4345
2022-02-10,Asian,3404
