LastReportDate,Ethnicity,Cases
2022-02-08,Unknown,377
2022-02-08,Middle Eastern/Latin American/African,518
2022-02-08,Maori,5685
2022-02-08,European or Other,4711
2022-02-08,Pacific Peoples,4067
2022-02-08,Asian,3146
