LastReportDate,Ethnicity,Cases
2021-10-09,Unknown,36
2021-10-08,Middle Eastern/Latin American/African,174
2021-10-10,Maori,590
2021-10-10,European or Other,1757
2021-10-10,Pacific Peoples,1104
2021-10-08,Asian,963
