LastReportDate,Ethnicity,Cases
2021-09-02,Unknown,54
2021-09-01,Middle Eastern/Latin American/African,158
2021-09-01,Maori,257
2021-09-02,European or Other,1623
2021-09-02,Pacific Peoples,736
2021-09-01,Asian,869
