LastReportDate,Ethnicity,Cases
2021-08-24,Unknown,31
2021-08-21,Middle Eastern/Latin American/African,155
2021-08-24,Maori,214
2021-08-25,European or Other,1583
2021-08-25,Pacific Peoples,358
2021-08-24,Asian,818
