LastReportDate,Ethnicity,Cases
2021-08-29,Unknown,49
2021-08-29,Middle Eastern/Latin American/African,157
2021-08-29,Maori,235
2021-08-29,European or Other,1607
2021-08-30,Pacific Peoples,616
2021-08-29,Asian,855
