LastReportDate,Ethnicity,Cases
2021-08-25,Unknown,37
2021-08-21,Middle Eastern/Latin American/African,155
2021-08-26,Maori,216
2021-08-25,European or Other,1586
2021-08-26,Pacific Peoples,407
2021-08-26,Asian,826
