LastReportDate,Ethnicity,Cases
2021-11-26,Asian,1311
2021-11-26,European or Other,3141
2021-11-26,Maori,3750
2021-11-26,Middle Eastern/Latin American/African,268
2021-11-26,Pacific Peoples,2501
2021-11-26,Unknown,144
