LastReportDate,Ethnicity,Cases
2021-10-13,Unknown,43
2021-10-12,Middle Eastern/Latin American/African,176
2021-10-13,Maori,686
2021-10-14,European or Other,1810
2021-10-13,Pacific Peoples,1145
2021-10-12,Asian,971
