LastReportDate,Ethnicity,Cases
2021-08-29,Unknown,52
2021-08-27,Middle Eastern/Latin American/African,156
2021-08-28,Maori,229
2021-08-28,European or Other,1602
2021-08-29,Pacific Peoples,573
2021-08-28,Asian,852
