LastReportDate,Ethnicity,Cases
2021-10-06,Unknown,37
2021-09-29,Middle Eastern/Latin American/African,172
2021-10-06,Maori,506
2021-10-05,European or Other,1705
2021-10-05,Pacific Peoples,1073
2021-10-05,Asian,957
