LastReportDate,Ethnicity,Cases
2021-10-19,Unknown,53
2021-10-18,Middle Eastern/Latin American/African,181
2021-10-20,Maori,840
2021-10-20,European or Other,1934
2021-10-20,Pacific Peoples,1213
2021-10-19,Asian,992
